iter	Passed	Remaining
0	59	59243
1	59	29821
2	60	19975
3	60	15093
4	63	12651
5	63	10589
6	64	9123
7	64	8015
8	65	7159
9	65	6471
10	65	5917
11	66	5452
12	66	5057
13	66	4717
14	67	4419
15	67	4161
16	67	3930
17	68	3726
18	68	3544
19	69	3381
20	69	3232
21	69	3100
22	70	2980
23	70	2865
24	70	2760
25	71	2661
26	71	2572
27	71	2497
28	72	2422
29	72	2350
30	73	2283
31	73	2227
32	74	2170
33	74	2113
34	74	2060
35	75	2009
36	75	1960
37	75	1915
38	76	1872
39	76	1831
40	76	1794
41	77	1756
42	77	1722
43	77	1688
44	77	1655
45	78	1623
46	78	1593
47	78	1564
48	79	1537
49	79	1510
50	79	1486
51	80	1461
52	80	1438
53	80	1415
54	81	1395
55	81	1374
56	81	1354
57	82	1334
58	82	1315
59	82	1296
60	83	1279
61	83	1261
62	83	1246
63	84	1230
64	84	1216
65	84	1202
66	85	1188
67	85	1172
68	85	1158
69	86	1147
70	86	1134
71	86	1121
72	87	1108
73	87	1097
74	88	1086
75	88	1075
76	88	1064
77	89	1054
78	89	1043
79	89	1032
80	90	1022
81	90	1013
82	90	1003
83	91	993
84	91	982
85	91	973
86	91	962
87	92	954
88	92	945
89	92	936
90	92	928
91	93	920
92	93	913
93	94	906
94	94	898
95	94	891
96	94	883
97	95	876
98	95	869
99	95	862
100	96	855
101	96	847
102	96	841
103	96	835
104	97	829
105	97	823
106	97	817
107	98	811
108	98	805
109	98	800
110	99	794
111	99	789
112	99	783
113	100	779
114	100	776
115	101	770
116	101	765
117	101	760
118	102	755
119	102	750
120	102	746
121	103	742
122	103	735
123	103	731
124	103	726
125	104	722
126	104	717
127	104	712
128	104	708
129	105	704
130	105	699
131	106	697
132	106	693
133	106	689
134	106	685
135	107	681
136	107	677
137	107	673
138	108	670
139	108	666
140	108	663
141	109	659
142	109	656
143	109	652
144	110	649
145	110	645
146	110	642
147	111	639
148	111	635
149	111	632
150	111	629
151	112	626
152	112	623
153	112	620
154	113	617
155	113	615
156	114	612
157	114	609
158	114	606
159	115	603
160	115	601
161	115	598
162	116	596
163	116	593
164	116	590
165	117	588
166	117	585
167	117	582
168	117	579
169	118	577
170	118	575
171	119	573
172	119	570
173	119	568
174	120	565
175	120	563
176	120	560
177	120	558
178	121	555
179	121	553
180	121	550
181	122	548
182	122	546
183	122	544
184	123	541
185	123	539
186	123	537
187	123	535
188	124	533
189	124	531
190	124	529
191	125	527
192	125	525
193	125	523
194	126	521
195	126	520
196	127	518
197	127	516
198	127	514
199	128	512
200	128	511
201	128	509
202	129	507
203	129	505
204	129	504
205	130	502
206	130	500
207	131	498
208	131	496
209	131	495
210	131	493
211	132	491
212	132	489
